"id","scientificName","names_wo_author","est"
21005,"Chrysophyllum marginatum (Hook. & Arn.) Radlk. subsp. marginatum","Chrysophyllum marginatum","MG/ES"
21010,"Micropholis crassipedicellata (Mart. & Eichler) Pierre","Micropholis crassipedicellata","MG/ES"
21012,"Micropholis gnaphaloclados (Mart.) Pierre","Micropholis gnaphaloclados","MG"
21014,"Pouteria glomerata (Miq.) Radlk. subsp. glomerata","Pouteria glomerata","MG"
21020,"Pouteria ramiflora (Mart.) Radlk.","Pouteria ramiflora","MG"
21022,"Pouteria venosa subsp. amazonica T.D.Penn.","Pouteria venosa","MG/ES"
21023,"Pouteria venosa (Mart.) Baehni subsp. venosa","Pouteria venosa","MG/ES"
21028,"Sideroxylon obtusifolium (Roem. & Schult.) T.D.Penn.","Sideroxylon obtusifolium","MG/ES"
21152,"Metternichia principis J.C.Mikan","Metternichia principis","MG/ES"
21167,"Solanum leucocarpon Dunal","Solanum leucocarpon","MG"
21171,"Solanum proteanthum Bohs","Solanum proteanthum","MG"
21251,"Styrax camporum Pohl","Styrax camporum","MG/ES"
21253,"Styrax latifolius Pohl","Styrax latifolius","MG/ES"
21255,"Styrax pedicellatus (Perkins) B.Walln.","Styrax pedicellatus","MG"
21256,"Styrax pohlii A.DC.","Styrax pohlii","MG"
21362,"Celtis orthacanthos Planch.","Celtis orthacanthos","MG/ES"
21573,"Callisthene hassleri Briq.","Callisthene hassleri","MG"
21575,"Qualea cordata var. intermedia (Warm.) Stafleu","Qualea cordata","MG"
21576,"Qualea cryptantha (Spreng.) Warm. var. cryptantha","Qualea cryptantha","MG/ES"
21578,"Qualea dichotoma (Mart.) Warm. var. dichotoma","Qualea dichotoma","MG/ES"
21582,"Salvertia convallariodora A.St.-Hil.","Salvertia convallariodora","MG"
21587,"Drimys brasiliensis subsp. sylvatica (A.St.-Hil.) Ehrend. & Gottsb.","Drimys brasiliensis","MG/ES"
21760,"Spondias dulcis Parkinson","Spondias dulcis","MG/ES"
21888,"Aspidosperma macrocarpon Mart. & Zucc.","Aspidosperma macrocarpon","MG"
22218,"Gymnanthemum amygdalinum (Delile) Sch.Bip. ex Walp.","Gymnanthemum amygdalinum","MG/ES"
22300,"Crateva tapia L.","Crateva tapia","MG/ES"
22405,"Carica papaya L.","Carica papaya","MG/ES"
