usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
2961170	Enterolobium contortisiliquum (Vell.) Morong	species	ACCEPTED	EXACT	Enterolobium contortisiliquum	98	Plantae	Tracheophyta	Fabales	Fabaceae	Enterolobium	Enterolobium contortisiliquum	6	7707728	220	1370	5386	2961142	2961170	FALSE	Magnoliopsida	NA	NA	Enterolobium contortisiliquum
3796283	Enterolobium contortisiliqua (Vell.) Morong, 1893	species	SYNONYM	FUZZY	Enterolobium contortisiliqua	92	Plantae	Tracheophyta	Fabales	Fabaceae	Enterolobium	Enterolobium contortisiliquum	6	7707728	220	1370	5386	2961142	2961170	TRUE	Magnoliopsida	2961170	Similarity: name=95; authorship=0; classification=-2; rank=5; status=0	Enterolobium contortisiliquum
8182740	Enterolobium contortisiliqua Manganaro	species	DOUBTFUL	FUZZY	Enterolobium contortisiliqua	90	Plantae	Tracheophyta	Fabales	Fabaceae	Enterolobium	Enterolobium contortisiliqua	6	7707728	220	1370	5386	2961142	8182740	FALSE	Magnoliopsida	NA	Similarity: name=95; authorship=0; classification=-2; rank=5; status=-5	Enterolobium contortisiliquum
9888756	Eremanthus erythropappus (DC.) Mac Leish	species	ACCEPTED	EXACT	Eremanthus erythropappus	97	Plantae	Tracheophyta	Asterales	Asteraceae	Eremanthus	Eremanthus erythropappus	6	7707728	220	414	3065	3133590	9888756	FALSE	Magnoliopsida	NA	NA	Eremanthus erythropappus
3133616	Eremanthus erythropappus (DC.) MacLeish	species	SYNONYM	EXACT	Eremanthus erythropappus	97	Plantae	Tracheophyta	Asterales	Asteraceae	Eremanthus	Eremanthus erythropappus	6	7707728	220	414	3065	3133590	9888756	TRUE	Magnoliopsida	9888756	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Eremanthus erythropappus
2895593	Genipa americana L.	species	ACCEPTED	EXACT	Genipa americana	98	Plantae	Tracheophyta	Gentianales	Rubiaceae	Genipa	Genipa americana	6	7707728	220	412	8798	2895591	2895593	FALSE	Magnoliopsida	NA	NA	Genipa americana
5627737	Genista americana Spach	species	SYNONYM	FUZZY	Genista americana	68	Plantae	Tracheophyta	Fabales	Fabaceae	Spartium	Spartium junceum	6	7707728	220	1370	5386	8109416	5355395	TRUE	Magnoliopsida	5355395	Similarity: name=65; authorship=0; classification=-2; rank=5; status=0	Genipa americana
3152195	Guazuma ulmifolia Lam.	species	ACCEPTED	EXACT	Guazuma ulmifolia	98	Plantae	Tracheophyta	Malvales	Malvaceae	Guazuma	Guazuma ulmifolia	6	7707728	220	941	6685	3152194	3152195	FALSE	Magnoliopsida	NA	NA	Guazuma ulmifolia
7884085	Guazuma ulmifolia Wall., 1829	species	DOUBTFUL	EXACT	Guazuma ulmifolia	95	Plantae	Tracheophyta	Malvales	Malvaceae	Guazuma	Guazuma ulmifolia	6	7707728	220	941	6685	3152194	7884085	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Guazuma ulmifolia
4092253	Handroanthus heptaphyllus (Mart.) Mattos	species	ACCEPTED	EXACT	Handroanthus heptaphyllus	98	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Handroanthus	Handroanthus heptaphyllus	6	7707728	220	408	6655	6401269	4092253	FALSE	Magnoliopsida	NA	NA	Handroanthus heptaphyllus
4092097	Handroanthus pentaphyllus (L.) Mattos	species	SYNONYM	FUZZY	Handroanthus pentaphyllus	8	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Tabebuia	Tabebuia heterophylla	6	7707728	220	408	6655	7935410	3172526	TRUE	Magnoliopsida	3172526	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Handroanthus heptaphyllus
4092017	Handroanthus serratifolius (Vahl) S.O.Grose	species	ACCEPTED	EXACT	Handroanthus serratifolius	98	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Handroanthus	Handroanthus serratifolius	6	7707728	220	408	6655	6401269	4092017	FALSE	Magnoliopsida	NA	NA	Handroanthus serratifolius
2950750	Hymenaea courbaril L.	species	ACCEPTED	EXACT	Hymenaea courbaril	98	Plantae	Tracheophyta	Fabales	Fabaceae	Hymenaea	Hymenaea courbaril	6	7707728	220	1370	5386	2950720	2950750	FALSE	Magnoliopsida	NA	NA	Hymenaea courbaril
7302244	Hymenaea courbarii	species	ACCEPTED	FUZZY	Hymenaea courbarii	92	Plantae	Tracheophyta	Fabales	Fabaceae	Hymenaea	Hymenaea courbarii	6	7707728	220	1370	5386	2950720	7302244	FALSE	Magnoliopsida	NA	Similarity: name=95; authorship=0; classification=-2; rank=5; status=1	Hymenaea courbaril
3075087	Joannesia princeps Vell.	species	ACCEPTED	EXACT	Joannesia princeps	98	Plantae	Tracheophyta	Malpighiales	Euphorbiaceae	Joannesia	Joannesia princeps	6	7707728	220	1414	4691	3075086	3075087	FALSE	Magnoliopsida	NA	NA	Joannesia princeps
3082440	Lecythis pisonis Cambess.	species	ACCEPTED	EXACT	Lecythis pisonis	98	Plantae	Tracheophyta	Ericales	Lecythidaceae	Lecythis	Lecythis pisonis	6	7707728	220	1353	3990	3082348	3082440	FALSE	Magnoliopsida	NA	NA	Lecythis pisonis
2984583	Maclura tinctoria (L.) D.Don ex Steud.	species	ACCEPTED	EXACT	Maclura tinctoria	97	Plantae	Tracheophyta	Rosales	Moraceae	Maclura	Maclura tinctoria	6	7707728	220	691	6640	2984579	2984583	FALSE	Magnoliopsida	NA	NA	Maclura tinctoria
8481652	Maclura tinctoria (L.) D.Don	species	SYNONYM	EXACT	Maclura tinctoria	97	Plantae	Tracheophyta	Rosales	Moraceae	Maclura	Maclura tinctoria	6	7707728	220	691	6640	2984579	2984583	TRUE	Magnoliopsida	2984583	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Maclura tinctoria
11108193	Maclura tinctoria Linnaeus, 1753	species	DOUBTFUL	EXACT	Maclura tinctoria	95	Plantae	Tracheophyta	Rosales	Moraceae	Maclura	Maclura tinctoria	6	7707728	220	691	6640	2984579	11108193	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Maclura tinctoria
3169446	Myrsine guianensis (Aubl.) Kuntze	species	ACCEPTED	EXACT	Myrsine guianensis	98	Plantae	Tracheophyta	Ericales	Primulaceae	Myrsine	Myrsine guianensis	6	7707728	220	1353	6674	3169412	3169446	FALSE	Magnoliopsida	NA	NA	Myrsine guianensis
3721482	Myrsine guineensis Kuntze	species	SYNONYM	FUZZY	Myrsine guineensis	92	Plantae	Tracheophyta	Ericales	Primulaceae	Myrsine	Myrsine guianensis	6	7707728	220	1353	6674	3169412	3169446	TRUE	Magnoliopsida	3169446	Similarity: name=95; authorship=0; classification=-2; rank=5; status=0	Myrsine guianensis
2952798	Peltophorum dubium (Spreng.) Taub.	species	ACCEPTED	EXACT	Peltophorum dubium	98	Plantae	Tracheophyta	Fabales	Fabaceae	Peltophorum	Peltophorum dubium	6	7707728	220	1370	5386	2952763	2952798	FALSE	Magnoliopsida	NA	NA	Peltophorum dubium
5352650	Pterogyne nitens Tul.	species	ACCEPTED	EXACT	Pterogyne nitens	98	Plantae	Tracheophyta	Fabales	Fabaceae	Pterogyne	Pterogyne nitens	6	7707728	220	1370	5386	2954266	5352650	FALSE	Magnoliopsida	NA	NA	Pterogyne nitens
2945453	Schizolobium parahyba (Vell.) S.F.Blake	species	ACCEPTED	EXACT	Schizolobium parahyba	98	Plantae	Tracheophyta	Fabales	Fabaceae	Schizolobium	Schizolobium parahyba	6	7707728	220	1370	5386	2945452	2945453	FALSE	Magnoliopsida	NA	NA	Schizolobium parahyba
2945458	Schizolobium parahybrum (Vell.) S.F.Blake	species	SYNONYM	FUZZY	Schizolobium parahybrum	92	Plantae	Tracheophyta	Fabales	Fabaceae	Schizolobium	Schizolobium parahyba	6	7707728	220	1370	5386	2945452	2945453	TRUE	Magnoliopsida	2945453	Similarity: name=95; authorship=0; classification=-2; rank=5; status=0	Schizolobium parahyba
2980360	Senegalia polyphylla (DC.) Britton & Rose	species	ACCEPTED	EXACT	Senegalia polyphylla	98	Plantae	Tracheophyta	Fabales	Fabaceae	Senegalia	Senegalia polyphylla	6	7707728	220	1370	5386	7989631	2980360	FALSE	Magnoliopsida	NA	NA	Senegalia polyphylla
