usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
5357676	Inga carinata T.D.Penn.	species	ACCEPTED	FUZZY	Inga carinata	9	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga carinata	6	7707728	220	1370	5386	2965936	5357676	FALSE	Magnoliopsida	NA	Similarity: name=5; authorship=0; classification=-2; rank=5; status=1	Inga marginata
7808686	Inga emarginata Humb. & Bonpl.	species	SYNONYM	FUZZY	Inga emarginata	8	Plantae	Tracheophyta	Fabales	Fabaceae	Calliandra	Calliandra tergemina	6	7707728	220	1370	5386	2981784	2981879	TRUE	Magnoliopsida	2981886	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Inga marginata
5360550	Inga emarginata Humb. & Bonpl. ex Willd.	species	SYNONYM	FUZZY	Inga emarginata	8	Plantae	Tracheophyta	Fabales	Fabaceae	Calliandra	Calliandra tergemina	6	7707728	220	1370	5386	2981784	2981879	TRUE	Magnoliopsida	2981886	Similarity: name=5; authorship=0; classification=-2; rank=5; status=0	Inga marginata
7905494	Ixia marginata (Soland.), 1789	species	ACCEPTED	FUZZY	Ixia marginata	0	Plantae	Tracheophyta	Asparagales	Iridaceae	Ixia	Ixia marginata	6	7707728	196	1169	7698	5296891	7905494	FALSE	Liliopsida	NA	Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1	Inga marginata
1568068	Idia marginata Macquart, 1851	species	SYNONYM	FUZZY	Idia marginata	0	Animalia	Arthropoda	Diptera	Polleniidae	Idiella	Idiella marginata	1	54	216	11352458	10789192	9180863	5076625	TRUE	Insecta	5076625	Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0	Inga marginata
5297749	Ixia marginata (L.f.) Aiton	species	SYNONYM	FUZZY	Ixia marginata	0	Plantae	Tracheophyta	Asparagales	Iridaceae	Watsonia	Watsonia marginata	6	7707728	196	1169	7698	2747139	5297748	TRUE	Liliopsida	5297748	Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0	Inga marginata
5357680	Inga vera Willd.	species	ACCEPTED	EXACT	Inga vera	97	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga vera	6	7707728	220	1370	5386	2965936	5357680	FALSE	Magnoliopsida	NA	NA	Inga vera
11325699	Inga vera Brenan	species	SYNONYM	EXACT	Inga vera	97	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga edulis	6	7707728	220	1370	5386	2965936	5357677	TRUE	Magnoliopsida	5357677	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Inga vera
7669455	Inga vera Kunth	species	SYNONYM	EXACT	Inga vera	97	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga edulis	6	7707728	220	1370	5386	2965936	5357677	TRUE	Magnoliopsida	5357677	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Inga vera
3989710	Lafoensia glyptocarpa Koehne	species	ACCEPTED	EXACT	Lafoensia glyptocarpa	98	Plantae	Tracheophyta	Myrtales	Lythraceae	Lafoensia	Lafoensia glyptocarpa	6	7707728	220	690	6684	7286250	3989710	FALSE	Magnoliopsida	NA	NA	Lafoensia glyptocarpa
9119360	Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis	species	ACCEPTED	EXACT	Paubrasilia echinata	98	Plantae	Tracheophyta	Fabales	Fabaceae	Paubrasilia	Paubrasilia echinata	6	7707728	220	1370	5386	8930466	9119360	FALSE	Magnoliopsida	NA	NA	Paubrasilia echinata
2951773	Piptadenia gonoacantha (Mart.) J.F.Macbr.	species	ACCEPTED	EXACT	Piptadenia gonoacantha	98	Plantae	Tracheophyta	Fabales	Fabaceae	Piptadenia	Piptadenia gonoacantha	6	7707728	220	1370	5386	2951753	2951773	FALSE	Magnoliopsida	NA	NA	Piptadenia gonoacantha
5355647	Plathymenia reticulata Benth.	species	ACCEPTED	EXACT	Plathymenia reticulata	98	Plantae	Tracheophyta	Fabales	Fabaceae	Plathymenia	Plathymenia reticulata	6	7707728	220	1370	5386	2960738	5355647	FALSE	Magnoliopsida	NA	NA	Plathymenia reticulata
2884788	Pouteria caimito (Ruiz & Pav.) Radlk.	species	ACCEPTED	EXACT	Pouteria caimito	98	Plantae	Tracheophyta	Ericales	Sapotaceae	Pouteria	Pouteria caimito	6	7707728	220	1353	8802	2884049	2884788	FALSE	Magnoliopsida	NA	NA	Pouteria caimito
7333495	Pouteria cainito	species	ACCEPTED	FUZZY	Pouteria cainito	92	Plantae	Tracheophyta	Ericales	Sapotaceae	Pouteria	Pouteria cainito	6	7707728	220	1353	8802	2884049	7333495	FALSE	Magnoliopsida	NA	Similarity: name=95; authorship=0; classification=-2; rank=5; status=1	Pouteria caimito
3660419	Schinus terebinthifolia Raddi	species	ACCEPTED	EXACT	Schinus terebinthifolia	98	Plantae	Tracheophyta	Sapindales	Anacardiaceae	Schinus	Schinus terebinthifolia	6	7707728	220	933	2398	3190641	3660419	FALSE	Magnoliopsida	NA	NA	Schinus terebinthifolia
3863000	Tibouchina estrellensis (Raddi) Cogn.	species	SYNONYM	EXACT	Tibouchina estrellensis	98	Plantae	Tracheophyta	Myrtales	Melastomataceae	Pleroma	Pleroma estrellense	6	7707728	220	690	6683	7273178	10899170	TRUE	Magnoliopsida	10899170	NA	Tibouchina estrellensis
